Region,Source,Year,Data,Unit
NWT,Non-hydro renewables,2006,0,GWh
NWT,Non-hydro renewables,2007,0,GWh
NWT,Non-hydro renewables,2008,0,GWh
NWT,Non-hydro renewables,2009,0,GWh
NWT,Non-hydro renewables,2010,0,GWh
NWT,Non-hydro renewables,2011,0,GWh
NWT,Non-hydro renewables,2012,0,GWh
NWT,Non-hydro renewables,2013,15.852,GWh
NWT,Non-hydro renewables,2014,19.854,GWh
NWT,Non-hydro renewables,2015,20.843,GWh
YT,Non-hydro renewables,2005,0,GWh
YT,Non-hydro renewables,2006,0,GWh
YT,Non-hydro renewables,2007,0,GWh
YT,Non-hydro renewables,2008,0,GWh
YT,Non-hydro renewables,2009,0,GWh
YT,Non-hydro renewables,2010,0,GWh
YT,Non-hydro renewables,2011,0,GWh
YT,Non-hydro renewables,2012,0,GWh
YT,Non-hydro renewables,2013,0,GWh
YT,Non-hydro renewables,2014,0,GWh
YT,Non-hydro renewables,2015,0,GWh
NU,Non-hydro renewables,2005,0,GWh
NU,Non-hydro renewables,2006,0,GWh
NU,Non-hydro renewables,2007,0,GWh
NU,Non-hydro renewables,2008,0,GWh
NU,Non-hydro renewables,2009,0,GWh
NU,Non-hydro renewables,2010,0,GWh
NU,Non-hydro renewables,2011,0,GWh
NU,Non-hydro renewables,2012,0,GWh
NU,Non-hydro renewables,2013,0,GWh
NU,Non-hydro renewables,2014,0,GWh
NU,Non-hydro renewables,2015,0,GWh
Canada,Non-hydro renewables,2005,9328.5597,GWh
Canada,Non-hydro renewables,2006,10539.501,GWh
Canada,Non-hydro renewables,2007,11702.3691,GWh
Canada,Non-hydro renewables,2008,13516.1151,GWh
Canada,Non-hydro renewables,2009,13683.3269,GWh
Canada,Non-hydro renewables,2010,17371.2341,GWh
Canada,Non-hydro renewables,2011,21510.4015,GWh
Canada,Non-hydro renewables,2012,24698.95709,GWh
Canada,Non-hydro renewables,2013,29349.4441,GWh
Canada,Non-hydro renewables,2014,35750.34167,GWh
Canada,Non-hydro renewables,2015,44633.91314,GWh
BC,Renewables,2005,63581.016,GWh
BC,Renewables,2006,57501.228,GWh
BC,Renewables,2007,67541.014,GWh
BC,Renewables,2008,61438.09,GWh
BC,Renewables,2009,58659.248,GWh
BC,Renewables,2010,58122.555,GWh
BC,Renewables,2011,65687.282,GWh
BC,Renewables,2012,69937.911,GWh
BC,Renewables,2013,64204.254,GWh
BC,Renewables,2014,62608.073,GWh
BC,Renewables,2015,62291.661,GWh
AB,Renewables,2005,4782.168,GWh
AB,Renewables,2006,4742.915,GWh
AB,Renewables,2007,5413.659,GWh
AB,Renewables,2008,5540.21,GWh
AB,Renewables,2009,5114.7,GWh
AB,Renewables,2010,5157.398,GWh
AB,Renewables,2011,6379.813272,GWh
AB,Renewables,2012,7008.79769,GWh
AB,Renewables,2013,7335.9,GWh
AB,Renewables,2014,7445.3,GWh
AB,Renewables,2015,7946.5,GWh
SK,Renewables,2005,4664.826,GWh
SK,Renewables,2006,4604.938,GWh
SK,Renewables,2007,5012.985,GWh
SK,Renewables,2008,4604.26,GWh
SK,Renewables,2009,3540.506,GWh
SK,Renewables,2010,4372.635,GWh
SK,Renewables,2011,5323.153,GWh
SK,Renewables,2012,4895.714,GWh
SK,Renewables,2013,5094.811,GWh
SK,Renewables,2014,5342.09,GWh
SK,Renewables,2015,4109.612,GWh
MB,Renewables,2005,36520.5082,GWh
MB,Renewables,2006,34008.1255,GWh
MB,Renewables,2007,33865.2036,GWh
MB,Renewables,2008,35038.4456,GWh
